;signal_strength;attention;meditation;delta;theta;low_alpha;high_alpha;low_beta;high_beta;low_gamma;high_gamma;time
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;53.0;57.0;176053.0;2541.0;3930.0;5104.0;1916.0;2964.0;3668.0;9271.0;1.0
2;0.0;63.0;53.0;860035.0;60998.0;7921.0;16659.0;7975.0;15694.0;13149.0;19411.0;2.0
3;0.0;51.0;54.0;360607.0;246652.0;45201.0;19503.0;6044.0;7514.0;24296.0;52904.0;3.0
4;0.0;54.0;61.0;393410.0;27681.0;6341.0;15671.0;10505.0;4163.0;2180.0;33437.0;4.0
5;0.0;44.0;44.0;168730.0;27500.0;4968.0;2335.0;3761.0;2510.0;2319.0;31987.0;5.0
6;0.0;44.0;57.0;40330.0;19613.0;26614.0;42137.0;21245.0;15948.0;11225.0;76914.0;6.0
7;0.0;69.0;60.0;4783.0;18891.0;5110.0;10486.0;20140.0;17745.0;16317.0;85001.0;7.0
8;0.0;70.0;70.0;9287.0;7401.0;16769.0;6230.0;3127.0;3452.0;7109.0;95684.0;8.0
9;0.0;75.0;77.0;286685.0;18053.0;711.0;9519.0;1432.0;3316.0;2793.0;22112.0;9.0
10;0.0;74.0;64.0;44706.0;11172.0;3533.0;1931.0;2766.0;2785.0;2750.0;10168.0;10.0
11;0.0;56.0;67.0;418762.0;421498.0;222148.0;35956.0;77538.0;45914.0;10934.0;40578.0;11.0
12;51.0;56.0;67.0;1911770.0;88913.0;56503.0;68746.0;67601.0;65250.0;40223.0;29146.0;12.0
13;25.0;56.0;67.0;595762.0;33487.0;50862.0;67046.0;114319.0;79054.0;6486.0;5633.0;13.0
14;0.0;48.0;53.0;709518.0;80514.0;17492.0;19282.0;34548.0;4390.0;4129.0;2153.0;14.0
15;0.0;48.0;57.0;489807.0;34848.0;34996.0;13956.0;13680.0;8793.0;23541.0;24942.0;15.0
16;0.0;53.0;56.0;92113.0;26039.0;6642.0;1665.0;3414.0;10245.0;6735.0;2403.0;16.0
17;0.0;67.0;51.0;299661.0;5890.0;695.0;2432.0;3439.0;3597.0;3632.0;1654.0;17.0
18;0.0;74.0;48.0;303197.0;36498.0;7284.0;3902.0;7596.0;3502.0;1635.0;7000.0;18.0
19;0.0;70.0;50.0;100975.0;11414.0;3444.0;11940.0;1173.0;1969.0;1636.0;15369.0;19.0
20;0.0;57.0;43.0;2190122.0;526965.0;16425.0;42908.0;45589.0;32007.0;30519.0;43590.0;20.0
21;0.0;47.0;43.0;511604.0;169624.0;38600.0;32333.0;79067.0;28543.0;15084.0;36279.0;21.0
22;0.0;47.0;43.0;162389.0;72360.0;3241.0;30026.0;53751.0;7418.0;3416.0;36051.0;22.0
23;0.0;34.0;27.0;583062.0;232566.0;26539.0;29603.0;38302.0;3745.0;8347.0;30723.0;23.0
24;0.0;29.0;27.0;272454.0;66790.0;3778.0;3703.0;4887.0;2759.0;2161.0;6415.0;24.0
25;0.0;24.0;30.0;516038.0;45419.0;8186.0;12915.0;9719.0;4100.0;2896.0;2262.0;25.0
26;0.0;11.0;20.0;288598.0;549246.0;13805.0;35140.0;36576.0;9940.0;11666.0;44065.0;26.0
27;0.0;26.0;26.0;59565.0;33988.0;4814.0;11469.0;8727.0;4221.0;1946.0;13894.0;27.0
28;0.0;23.0;27.0;833800.0;587933.0;42919.0;44829.0;19695.0;14457.0;19228.0;33894.0;28.0
29;0.0;35.0;26.0;69104.0;10404.0;3070.0;1275.0;2327.0;3998.0;1067.0;12133.0;29.0
30;0.0;48.0;40.0;436405.0;80425.0;30030.0;6224.0;6483.0;9587.0;10432.0;20577.0;30.0
31;0.0;43.0;43.0;153973.0;22232.0;12966.0;3323.0;9197.0;1748.0;1254.0;26984.0;31.0
32;0.0;51.0;44.0;683627.0;58971.0;6880.0;5119.0;6799.0;4443.0;1539.0;6864.0;32.0
33;0.0;50.0;51.0;1641055.0;38985.0;10928.0;68844.0;88427.0;28294.0;11147.0;178208.0;33.0
34;0.0;57.0;48.0;43945.0;55690.0;19081.0;6544.0;19970.0;17406.0;8829.0;218179.0;34.0
35;0.0;63.0;56.0;636323.0;9005.0;4426.0;10737.0;1908.0;1894.0;992.0;27574.0;35.0
36;0.0;69.0;77.0;66896.0;7626.0;9527.0;13820.0;2282.0;4644.0;504.0;21606.0;36.0
37;0.0;51.0;70.0;745659.0;180504.0;22975.0;31854.0;26080.0;5961.0;1891.0;200977.0;37.0
38;25.0;51.0;70.0;379175.0;116945.0;59505.0;63720.0;23189.0;13870.0;4477.0;3838.0;38.0
39;51.0;51.0;70.0;771615.0;204681.0;36669.0;70466.0;73949.0;68273.0;25486.0;9583.0;39.0
40;0.0;41.0;70.0;421148.0;103834.0;21197.0;11709.0;5108.0;8674.0;5899.0;157748.0;40.0
41;0.0;40.0;57.0;205502.0;52394.0;6723.0;17613.0;30912.0;5246.0;5825.0;237170.0;41.0
42;0.0;37.0;38.0;92883.0;46504.0;466.0;7349.0;5216.0;5315.0;5092.0;164751.0;42.0
43;0.0;54.0;48.0;8661.0;7112.0;9697.0;3619.0;2635.0;5074.0;5128.0;169494.0;43.0
44;0.0;70.0;53.0;3831.0;9495.0;8606.0;2294.0;5843.0;8887.0;3802.0;180691.0;44.0
45;0.0;75.0;63.0;13417.0;28174.0;25905.0;8116.0;7411.0;6345.0;2809.0;122920.0;45.0
46;0.0;81.0;77.0;10383.0;6362.0;5274.0;8447.0;7721.0;4386.0;7287.0;152712.0;46.0
47;0.0;81.0;69.0;10610.0;24714.0;10079.0;8047.0;6421.0;11226.0;5412.0;133707.0;47.0
48;0.0;75.0;63.0;6782.0;16206.0;4382.0;2611.0;5874.0;4676.0;2755.0;180718.0;48.0
49;0.0;66.0;61.0;19677.0;43949.0;12522.0;20772.0;5781.0;2791.0;5272.0;155791.0;49.0
50;0.0;70.0;60.0;36548.0;15461.0;16435.0;5848.0;5644.0;17705.0;6568.0;188448.0;50.0
51;0.0;77.0;63.0;8997.0;12660.0;8893.0;6955.0;4463.0;11433.0;5528.0;150811.0;51.0
52;0.0;66.0;81.0;1200.0;16794.0;12850.0;33218.0;4495.0;3856.0;8567.0;165663.0;52.0
53;0.0;74.0;77.0;235158.0;11788.0;2492.0;3664.0;1561.0;1373.0;1225.0;32700.0;53.0
54;0.0;60.0;74.0;9624.0;34444.0;12055.0;6104.0;2039.0;4992.0;3721.0;146265.0;54.0
55;0.0;57.0;77.0;10529.0;9989.0;14702.0;3995.0;3912.0;9498.0;3561.0;155000.0;55.0
56;0.0;69.0;74.0;13674.0;8495.0;22391.0;1909.0;2397.0;8501.0;3665.0;125165.0;56.0
57;0.0;70.0;77.0;5275.0;15866.0;7384.0;6214.0;4965.0;3024.0;4881.0;147618.0;57.0
58;0.0;69.0;87.0;4964.0;10050.0;17728.0;10113.0;8433.0;3467.0;7501.0;162312.0;58.0
59;0.0;64.0;75.0;5668.0;39182.0;4624.0;8501.0;2712.0;7377.0;5362.0;157687.0;59.0
60;0.0;69.0;50.0;2583.0;24432.0;1400.0;1918.0;5101.0;14601.0;7305.0;149244.0;60.0
61;0.0;69.0;50.0;60608.0;15138.0;8956.0;2291.0;1502.0;2349.0;2200.0;31496.0;61.0
62;0.0;63.0;34.0;233630.0;46980.0;1283.0;10685.0;4743.0;2179.0;734.0;38199.0;62.0
63;0.0;67.0;41.0;2605.0;10810.0;5302.0;9156.0;8648.0;6539.0;4918.0;161525.0;63.0
64;0.0;67.0;54.0;20112.0;6958.0;3184.0;7128.0;12350.0;10474.0;3634.0;122279.0;64.0
65;0.0;70.0;54.0;5173.0;13689.0;1795.0;10735.0;9156.0;3340.0;2413.0;125858.0;65.0
66;0.0;81.0;51.0;61772.0;32356.0;3907.0;2397.0;7268.0;5094.0;4010.0;152253.0;66.0
67;0.0;75.0;41.0;59708.0;78190.0;4195.0;15267.0;4235.0;10634.0;6010.0;141416.0;67.0
68;0.0;48.0;50.0;704937.0;129588.0;99350.0;19107.0;19137.0;5572.0;8080.0;122772.0;68.0
69;0.0;34.0;43.0;767309.0;297478.0;36596.0;45537.0;8410.0;8756.0;4417.0;90743.0;69.0
70;0.0;41.0;53.0;4367.0;6436.0;11591.0;3069.0;20988.0;6619.0;3557.0;131659.0;70.0
